id,UNC210000095,UNC210000599,UNC210001275,UNC210001366,UNC210001613
JAXW202-2749,2.465,0.067,0.029,3.07,1.561
JAXW202-2735,2.807,0.074,0.018,3.31,1.508
JAXW202-2449,2.489,0.069,0.038,3.057,1.434
JAXW202-2457,2.661,0.075,0.021,3.123,1.513
JAXW202-2465,2.577,0.084,0.02,3.198,1.622
JAXW202-2473,2.568,0.039,0.02,3.387,1.434
JAXW202-2481,2.659,0.055,0.03,3.437,1.344
JAXW202-2494,2.445,0.348,0.153,3.064,1.837
JAXW202-2580,2.552,0.059,0.022,3.168,1.412
JAXW202-2742,2.586,0.077,0.033,3.224,1.465
JAXW202-2753,3.011,0.068,0.026,3.632,1.534
JAXW202-3015,3.025,0.251,0.166,3.582,1.524
JAXW202-3032,2.875,0.228,0.164,3.369,1.437
JAXW202-3040,2.937,0.207,0.146,3.641,1.278
JAXW202-3099,2.958,0.085,0.04,3.618,1.405
JAXW202-3107,2.768,0.082,0.033,3.582,1.365
JAXW202-3115,2.644,0.094,0.041,3.401,1.365
JAXW202-3123,2.683,0.078,0.041,3.299,1.368
JAXW202-3131,3.042,0.043,0.023,3.598,1.424
JAXW202-2568,2.735,0.087,0.208,3.666,1.566
JAXW202-3008,2.947,0.229,0.147,3.884,1.614
JAXW202-3016,3.087,0.204,0.13,3.75,1.317
JAXW202-3025,2.902,0.263,0.169,3.642,1.588
JAXW202-3033,2.621,0.268,0.177,3.419,1.618
JAXW202-3041,2.878,0.216,0.164,3.687,1.233
JAXW202-3100,2.904,0.063,0.03,3.42,1.357
JAXW202-3108,2.757,0.086,0.034,3.44,1.257
JAXW202-3124,2.789,0.097,0.039,3.408,1.364
JAXW202-3162,2.985,0.068,0.042,3.532,0.744
JAXW202-3001,2.847,0.212,0.21,3.723,1.595
JAXW202-3009,2.66,0.255,0.171,3.453,1.613
JAXW202-3017,2.825,0.17,0.152,3.517,1.528
JAXW202-3026,2.508,0.228,0.193,3.329,1.547
JAXW202-3034,2.616,0.088,0.215,3.878,1.38
JAXW202-3042,2.702,0.355,0.13,3.019,1.316
JAXW202-3093,2.839,0.093,0.071,3.099,1.258
JAXW202-3101,2.748,0.102,0.054,2.986,1.354
JAXW202-3109,3.158,0.12,0.048,3.493,1.412
JAXW202-3125,3.03,0.104,0.052,3.141,1.239
JAXW202-3163,3.689,0.052,0.025,3.811,1.464
JAXW202-3002,2.617,0.247,0.194,3.447,1.698
JAXW202-3010,2.723,0.272,0.183,3.274,1.644
JAXW202-3018,2.715,0.286,0.164,3.205,1.701
JAXW202-3027,2.957,0.248,0.206,3.494,1.66
JAXW202-3035,2.626,0.293,0.199,3.162,1.725
JAXW202-3094,3.151,0.099,0.05,3.332,1.39
JAXW202-3102,3.469,0.099,0.052,3.443,1.413
JAXW202-3110,2.879,0.101,0.056,3.408,1.472
JAXW202-3118,2.835,0.127,0.046,3.032,1.305
JAXW202-3126,3.128,0.108,0.048,3.287,1.314
JAXW202-3003,2.67,0.259,0.208,3.46,1.764
JAXW202-3011,2.97,0.19,0.21,3.509,1.599
JAXW202-3028,2.904,0.229,0.175,3.577,1.497
JAXW202-3036,2.644,0.091,0.157,3.399,1.564
JAXW202-3095,2.862,0.099,0.067,3.63,1.26
JAXW202-3119,2.592,0.088,0.061,3.371,1.319
JAXW202-3127,2.995,0.089,0.019,2.945,1.319
JAXW202-3004,3.809,0.114,0.188,3.626,1.416
JAXW202-3012,3.197,0.296,0.157,3.203,1.651
JAXW202-3020,3.31,0.364,0.183,3.49,1.736
JAXW202-3029,3.114,0.334,0.18,3.421,1.672
JAXW202-3037,3.027,0.38,0.195,3.195,1.752
JAXW202-3096,2.98,0.097,0.058,3.137,1.427
JAXW202-3104,3.103,0.102,0.045,3.266,1.462
JAXW202-3112,3.058,0.112,0.039,3.302,1.432
JAXW202-3120,2.896,0.119,0.061,3.081,1.376
JAXW202-3005,2.937,0.301,0.19,3.275,1.756
JAXW202-3013,3.227,0.225,0.174,3.434,1.64
JAXW202-3021,3.256,0.296,0.186,3.253,1.375
JAXW202-3030,2.87,0.293,0.231,3.201,1.685
JAXW202-3038,2.983,0.326,0.222,3.175,1.52
JAXW202-3089,2.866,0.09,0.066,3.337,1.406
JAXW202-3097,2.752,0.094,0.076,3.226,1.331
JAXW202-3105,3.021,0.081,0.059,3.244,1.349
JAXW202-3113,3.037,0.108,0.053,3.431,1.38
JAXW202-3121,3.102,0.093,0.059,3.127,1.411
JAXW202-3129,3.544,0.105,0.065,3.553,1.428
JAXW202-3006,2.776,0.28,0.174,3.451,1.772
JAXW202-3014,2.963,0.243,0.226,3.526,1.661
JAXW202-3031,3.005,0.279,0.214,3.237,1.666
JAXW202-3039,2.985,0.295,0.178,3.45,1.631
JAXW202-3090,2.992,0.102,0.068,3.306,1.511
JAXW202-3098,3.045,0.104,0.063,2.991,1.49
JAXW202-3106,3.322,0.1,0.043,3.025,1.307
JAXW202-3114,3.066,0.094,0.059,3.455,1.418
JAXW202-3122,3.164,0.123,0.054,3.384,1.452
JAXW202-3130,3.093,0.104,0.067,3.106,1.482
JAXW202-3168,3.158,0.089,0.052,3.259,1.437
JAXW202-3137,2.806,0.07,0.036,3.127,1.337
JAXW202-3143,2.963,0.079,0.05,3.219,1.418
JAXW202-3156,2.822,0.071,0.025,3.254,1.368
JAXW202-3138,2.97,0.066,0.031,3.276,1.417
JAXW202-3144,3.386,0.066,0.034,3.62,1.386
JAXW202-3151,3.033,0.075,0.03,3.41,1.454
JAXW202-3157,2.889,0.054,0.015,3.33,1.348
JAXW202-3133,2.732,0.058,0.029,3.626,1.396
JAXW202-3139,2.791,0.078,0.071,3.855,1.354
JAXW202-3145,2.691,0.087,0.066,3.554,1.404
JAXW202-3152,3.299,0.088,0.052,4.251,1.317
JAXW202-3158,2.498,0.046,0.021,3.328,1.36
JAXW202-3134,2.728,0.079,0.032,3.875,1.298
JAXW202-3153,3.244,0.062,0.055,4.142,1.242
JAXW202-3159,2.833,0.063,0.031,3.47,1.282
JAXW202-3135,2.99,0.088,0.063,3.151,1.457
JAXW202-3141,3.026,0.123,0.064,3.21,1.5
JAXW202-3148,2.937,0.122,0.069,3.095,1.354
JAXW202-3154,3.122,0.112,0.036,3.094,1.423
JAXW202-3160,3.222,0.086,0.028,3.516,1.479
JAXW202-3136,3.192,0.081,0.049,3.29,1.402
JAXW202-3142,3.265,0.098,0.049,3.188,1.357
JAXW202-3149,2.918,0.091,0.04,3.265,1.421
JAXW202-3155,3.087,0.097,0.039,3.126,1.494
JAXW202-3161,3.5,0.084,0.022,3.424,1.411
JAXW202-3174,2.666,0.098,0.054,3.039,1.344
JAXW202-3169,2.817,0.109,0.046,3.12,1.246
JAXW202-3175,3.323,0.245,0.189,3.504,0.872
JAXW202-3170,2.637,0.084,0.044,2.885,1.393
JAXW202-3171,2.389,0.073,0.043,2.66,1.333
JAXW202-3333,2.854,0.052,0.032,3.142,1.452
JAXW202-3341,2.76,0.075,0.029,3.07,1.388
JAXW202-3349,2.697,0.066,0.048,2.809,1.329
JAXW202-3357,2.678,0.078,0.026,2.866,1.336
JAXW202-3367,2.594,0.076,0.037,2.729,1.267
JAXW202-3375,2.691,0.078,0.025,2.826,1.387
JAXW202-3383,2.76,0.099,0.036,2.982,1.305
JAXW202-3230,2.788,0.316,0.14,2.949,1.749
JAXW202-3238,2.648,0.293,0.178,2.787,1.406
JAXW202-3246,2.579,0.087,0.163,2.825,1.719
JAXW202-3254,2.55,0.282,0.159,2.788,1.688
JAXW202-3334,2.737,0.086,0.025,2.759,1.29
JAXW202-3342,2.634,0.088,0.036,2.764,1.254
JAXW202-3350,2.857,0.065,0.049,2.902,1.326
JAXW202-3368,2.703,0.073,0.041,2.798,1.407
JAXW202-3376,2.74,0.064,0.022,3.025,1.434
JAXW202-3384,2.715,0.095,0.035,2.885,1.303
JAXW202-3247,2.623,0.289,0.154,2.707,1.68
JAXW202-3255,2.743,0.257,0.158,2.998,1.655
JAXW202-3335,2.78,0.089,0.047,2.899,1.337
JAXW202-3343,2.765,0.095,0.037,2.943,1.318
JAXW202-3351,2.809,0.107,0.061,3.038,1.472
JAXW202-3359,3.095,0.095,0.061,3.164,1.183
JAXW202-3369,2.988,0.121,0.047,3.013,1.386
JAXW202-3377,2.851,0.104,0.051,3.117,1.283
JAXW202-3385,2.776,0.116,0.063,2.971,1.436
JAXW202-3232,2.896,0.326,0.173,3.017,1.648
JAXW202-3240,2.837,0.118,0.219,3.051,1.686
JAXW202-3248,3.156,0.109,0.181,3.261,1.65
JAXW202-3256,2.882,0.291,0.176,3.071,1.638
JAXW202-3265,2.813,0.302,0.147,3.263,1.715
JAXW202-3336,2.987,0.122,0.055,3.028,1.375
JAXW202-3352,2.993,0.112,0.044,3.059,1.392
JAXW202-3360,2.949,0.117,0.059,3.03,1.361
JAXW202-3370,3.055,0.107,0.062,3.212,1.218
JAXW202-3378,2.98,0.102,0.05,3.113,1.349
JAXW202-3386,2.705,0.114,0.071,2.998,1.414
JAXW202-3233,2.991,0.29,0.192,3.159,1.649
JAXW202-3241,3.078,0.323,0.204,3.25,1.668
JAXW202-3249,2.977,0.367,0.219,3.24,1.638
JAXW202-3257,3.072,0.308,0.178,3.393,1.722
JAXW202-3266,3.1,0.283,0.158,3.539,1.71
JAXW202-3337,2.803,0.105,0.065,2.969,1.34
JAXW202-3345,2.908,0.082,0.069,2.93,1.319
JAXW202-3353,2.774,0.121,0.08,3.046,1.429
JAXW202-3361,2.954,0.107,0.075,2.894,1.383
JAXW202-3371,2.856,0.097,0.075,3.101,1.24
JAXW202-3387,2.84,0.087,0.063,3.145,1.381
JAXW202-3234,2.6,0.343,0.235,2.966,1.698
JAXW202-3242,2.785,0.129,0.231,3.056,1.454
JAXW202-3250,2.71,0.313,0.195,2.871,1.67
JAXW202-3258,2.758,0.29,0.205,3.129,1.712
JAXW202-3291,3.214,0.19,0.105,3.8,1.701
JAXW202-3338,2.861,0.106,0.062,2.966,1.382
JAXW202-3346,2.807,0.092,0.062,3.017,1.355
JAXW202-3354,3.004,0.117,0.058,3.298,1.335
JAXW202-3362,3.3,0.127,0.067,3.273,1.28
JAXW202-3388,2.846,0.114,0.057,2.967,1.37
JAXW202-3235,2.845,0.333,0.228,3.196,1.691
JAXW202-3243,2.987,0.336,0.237,3.3,1.617
JAXW202-3251,3.094,0.118,0.23,3.29,1.574
JAXW202-3259,2.848,0.315,0.205,3.232,1.623
JAXW202-3339,3.081,0.115,0.048,3.232,1.488
JAXW202-3347,3.726,0.113,0.074,3.454,1.245
JAXW202-3355,3.018,0.128,0.067,3.243,1.36
JAXW202-3365,3.024,0.12,0.066,3.3,1.315
JAXW202-3381,3.799,0.05,0.041,3.886,1.346
JAXW202-3389,2.805,0.101,0.057,3.015,1.316
JAXW202-3252,3.085,0.315,0.221,3.231,1.687
JAXW202-3260,2.968,0.093,0.042,3.212,1.36
JAXW202-3293,3.373,0.047,0.129,4.148,1.792
JAXW202-3340,3.203,0.107,0.049,3.167,1.384
JAXW202-3348,3.116,0.116,0.061,3.204,1.38
JAXW202-3356,3.068,0.131,0.06,3.338,1.458
JAXW202-3366,3.351,0.128,0.055,3.593,1.376
JAXW202-3374,3.23,0.117,0.065,3.443,1.462
JAXW202-3382,3.512,0.072,0.035,3.802,1.352
JAXW202-3229,3.103,0.336,0.207,3.432,1.688
JAXW202-3237,3.099,0.341,0.229,3.494,1.68
JAXW202-3245,3.195,0.335,0.233,3.501,1.643
JAXW202-3261,2.951,0.262,0.181,3.312,1.731
JAXW202-3294,3.846,0.18,0.13,4.497,1.337
JAXW202-3311,2.817,0.077,0.045,3.128,1.245
JAXW202-3327,2.557,0.095,0.049,3.206,1.434
JAXW202-3177,2.741,0.344,0.199,3.086,1.666
JAXW202-3185,3.003,0.331,0.174,3.187,1.629
JAXW202-3193,2.664,0.303,0.164,3.108,1.72
JAXW202-3201,2.596,0.303,0.157,2.849,1.727
JAXW202-3296,2.749,0.325,0.182,3.159,1.749
JAXW202-3267,2.459,0.109,0.05,3.065,1.372
JAXW202-3275,3.836,0.113,0.063,3.761,1.125
JAXW202-3304,3.105,0.097,0.051,3.338,1.331
JAXW202-3312,2.712,0.084,0.034,2.983,1.023
JAXW202-3320,3.494,0.107,0.055,3.531,1.273
JAXW202-3328,2.711,0.116,0.055,3.112,1.471
JAXW202-3178,2.902,0.331,0.198,3.281,1.43
JAXW202-3186,2.641,0.305,0.172,3.069,1.656
JAXW202-3194,2.762,0.301,0.16,3.103,1.711
JAXW202-3202,2.617,0.086,0.172,3.141,1.747
JAXW202-3297,2.549,0.286,0.193,2.814,1.76
JAXW202-3284,2.68,0.098,0.045,2.842,1.356
JAXW202-3305,2.76,0.078,0.044,3.193,1.275
JAXW202-3313,2.685,0.061,0.034,2.802,1.371
JAXW202-3321,2.683,0.069,0.035,2.948,1.317
JAXW202-3329,2.645,0.073,0.03,3.036,1.388
JAXW202-3179,2.679,0.293,0.167,2.899,1.63
JAXW202-3187,2.685,0.275,0.176,2.976,1.575
JAXW202-3195,2.623,0.28,0.189,2.952,1.32
JAXW202-3203,2.965,0.049,0.017,3.485,1.549
JAXW202-3298,2.608,0.268,0.211,2.938,1.6
JAXW202-3269,2.628,0.075,0.044,3.169,1.356
JAXW202-3277,2.706,0.086,0.051,3.061,1.316
JAXW202-3285,2.676,0.07,0.035,3.029,1.249
JAXW202-3322,2.623,0.086,0.049,2.863,1.345
JAXW202-3330,2.545,0.072,0.036,2.831,1.431
JAXW202-3180,2.676,0.295,0.163,2.884,1.514
JAXW202-3188,2.741,0.275,0.167,2.912,1.648
JAXW202-3196,2.653,0.283,0.18,3.034,1.705
JAXW202-3204,3.269,0.212,0.118,3.798,1.8
JAXW202-3299,2.647,0.265,0.168,3.192,1.674
JAXW202-3270,2.895,0.071,0.046,3.275,1.383
JAXW202-3278,2.697,0.084,0.055,3.16,1.192
JAXW202-3323,2.661,0.078,0.036,2.796,1.371
JAXW202-3331,2.695,0.087,0.051,2.972,1.351
JAXW202-3181,2.783,0.286,0.194,3.075,1.654
JAXW202-3189,2.761,0.255,0.198,3.033,1.729
JAXW202-3197,2.824,0.292,0.21,3.037,1.28
JAXW202-3205,2.982,0.224,0.151,3.411,1.731
JAXW202-3300,2.639,0.27,0.187,3.06,1.684
JAXW202-3271,2.559,0.077,0.047,3.149,1.348
JAXW202-3287,2.819,0.103,0.065,2.946,1.355
JAXW202-3308,2.901,0.095,0.061,3.024,1.374
JAXW202-3316,2.622,0.085,0.038,2.882,1.383
JAXW202-3324,3.469,0.109,0.074,3.501,1.233
JAXW202-3332,2.656,0.09,0.053,2.863,1.357
JAXW202-3182,2.651,0.279,0.19,3.095,1.705
JAXW202-3190,2.702,0.296,0.189,2.955,1.596
JAXW202-3198,2.653,0.293,0.191,2.88,1.607
JAXW202-3206,2.842,0.235,0.132,3.559,1.816
JAXW202-3301,2.625,0.261,0.179,3.112,1.677
JAXW202-3280,2.75,0.097,0.049,3.127,1.375
JAXW202-3288,2.734,0.115,0.05,2.896,1.396
JAXW202-3317,2.632,0.095,0.047,2.986,1.435
JAXW202-3325,2.705,0.078,0.049,3.023,1.308
JAXW202-3363,2.769,0.091,0.06,3.181,1.349
JAXW202-3183,2.825,0.269,0.19,3.025,1.675
JAXW202-3191,2.74,0.328,0.216,3.093,1.559
JAXW202-3199,2.839,0.28,0.194,3.067,1.71
JAXW202-3207,2.931,0.239,0.137,3.612,1.669
JAXW202-3302,2.695,0.301,0.184,3.072,1.567
JAXW202-3273,2.719,0.098,0.06,3.036,1.282
JAXW202-3289,3.079,0.11,0.057,3.488,1.447
JAXW202-3318,2.89,0.097,0.048,3.245,1.429
JAXW202-3326,3.107,0.118,0.065,3.322,1.287
JAXW202-3364,2.737,0.108,0.05,3.171,1.188
JAXW202-3184,2.888,0.326,0.214,3.169,1.73
JAXW202-3200,2.951,0.28,0.191,3.257,1.374
JAXW202-3208,3.111,0.228,0.152,3.561,1.767
JAXW202-3209,2.808,0.32,0.206,3.119,1.758
JAXW202-3215,2.724,0.316,0.223,2.982,1.725
JAXW202-3221,2.803,0.303,0.237,3.072,1.653
JAXW202-3227,2.779,0.314,0.216,3.049,1.32
JAXW202-3210,2.663,0.328,0.206,3.003,1.696
JAXW202-3216,2.763,0.29,0.219,3.075,1.584
JAXW202-3222,2.78,0.317,0.224,3.13,1.637
JAXW202-3228,2.74,0.315,0.228,3.17,1.662
JAXW202-3211,2.661,0.306,0.205,2.868,1.713
JAXW202-3217,2.686,0.298,0.217,2.909,1.711
JAXW202-3223,2.691,0.256,0.221,2.953,1.64
JAXW202-3212,2.875,0.3,0.223,3.013,1.758
JAXW202-3218,2.768,0.304,0.223,3.048,1.707
JAXW202-3224,2.834,0.094,0.237,2.905,1.665
JAXW202-3219,2.901,0.317,0.252,3.167,1.625
JAXW202-3225,2.529,0.103,0.255,2.895,1.679
JAXW202-3220,2.708,0.289,0.242,3.284,1.798
JAXW202-3226,2.68,0.32,0.242,3.092,1.66
JAXW202-2200,2.553,0.325,0.199,2.624,1.571
JAXW202-2238,2.577,0.301,0.205,2.922,1.626
JAXW202-2186,2.58,0.308,0.202,2.978,1.566
JAXW202-2198,2.667,0.271,0.167,3.067,1.179
JAXW202-2147,2.597,0.079,0.038,2.9,1.212
JAXW202-2137,2.446,0.098,0.037,2.867,1.22
JAXW202-2171,2.633,0.085,0.05,3.051,1.332
JAXW202-2191,2.563,0.286,0.194,3.012,1.597
JAXW202-2212,2.638,0.276,0.187,3.051,1.661
JAXW202-2150,2.641,0.085,0.037,2.888,1.157
JAXW202-2205,2.697,0.285,0.189,3.078,1.209
JAXW202-2240,2.592,0.33,0.2,3.002,1.636
JAXW202-2188,2.631,0.075,0.214,2.885,1.617
JAXW202-2199,2.483,0.072,0.218,2.87,1.633
JAXW202-2151,2.673,0.08,0.028,3.043,1.343
JAXW202-2142,2.592,0.074,0.027,3.123,1.351
JAXW202-2173,2.511,0.093,0.059,2.785,1.25
JAXW202-2192,2.65,0.313,0.195,2.905,1.619
JAXW202-2219,2.572,0.306,0.224,2.827,1.648
JAXW202-2155,2.723,0.067,0.04,3.014,1.236
JAXW202-2213,3.462,0.166,0.143,4.158,1.78
JAXW202-2207,2.632,0.315,0.204,2.787,1.605
JAXW202-2241,2.496,0.29,0.242,2.743,1.608
JAXW202-2189,2.524,0.243,0.178,2.756,1.16
JAXW202-2204,2.672,0.272,0.221,2.909,1.653
JAXW202-2135,2.6,0.104,0.057,2.894,1.352
JAXW202-2152,2.532,0.096,0.04,2.787,1.32
JAXW202-2144,2.418,0.085,0.058,2.639,1.088
JAXW202-2180,2.391,0.081,0.06,2.591,1.33
JAXW202-2201,2.62,0.28,0.201,2.842,1.454
JAXW202-2220,2.459,0.328,0.214,2.921,1.629
JAXW202-2156,2.47,0.082,0.055,2.734,1.297
JAXW202-2214,2.585,0.302,0.185,2.805,1.658
JAXW202-2242,2.546,0.338,0.235,2.78,1.612
JAXW202-2190,2.495,0.11,0.231,2.817,1.704
JAXW202-2206,2.595,0.267,0.231,2.881,1.62
JAXW202-2136,2.603,0.091,0.057,2.967,1.232
JAXW202-2157,2.59,0.08,0.043,2.929,1.168
JAXW202-2145,2.47,0.089,0.046,2.745,1.217
JAXW202-2181,2.409,0.095,0.073,2.758,1.297
JAXW202-2202,2.562,0.283,0.228,2.686,1.329
JAXW202-2221,2.662,0.289,0.232,2.83,1.614
JAXW202-2158,2.606,0.104,0.03,2.618,1.192
JAXW202-2229,2.859,0.228,0.141,3.234,1.838
JAXW202-2223,2.692,0.322,0.224,3.029,1.686
JAXW202-2243,2.591,0.102,0.239,2.908,1.592
JAXW202-2194,2.811,0.11,0.265,2.977,1.694
JAXW202-2218,2.65,0.268,0.248,2.977,1.582
JAXW202-2138,2.562,0.105,0.055,2.893,1.323
JAXW202-2162,2.63,0.087,0.05,3.128,1.358
JAXW202-2149,2.616,0.092,0.066,2.833,1.327
JAXW202-2182,2.593,0.096,0.065,2.802,1.303
JAXW202-2224,2.485,0.293,0.222,2.924,1.549
JAXW202-2231,2.87,0.256,0.191,3.25,1.584
JAXW202-2226,2.791,0.285,0.221,3.094,1.64
JAXW202-2244,2.851,0.301,0.264,2.961,1.632
JAXW202-2195,2.63,0.334,0.261,2.916,1.661
JAXW202-2222,2.779,0.287,0.245,2.877,1.392
JAXW202-2139,2.594,0.116,0.064,2.855,1.19
JAXW202-2164,2.528,0.087,0.07,2.925,1.348
JAXW202-2153,2.68,0.079,0.058,2.795,1.366
JAXW202-2183,2.544,0.082,0.047,2.898,1.289
JAXW202-2208,2.777,0.307,0.235,2.965,1.483
JAXW202-2225,2.705,0.306,0.245,3.03,1.689
JAXW202-2161,2.556,0.119,0.049,2.773,1.266
JAXW202-2233,3.09,0.111,0.196,3.569,1.703
JAXW202-2245,2.524,0.306,0.246,2.699,1.59
JAXW202-2228,2.605,0.302,0.228,2.846,1.678
JAXW202-2141,2.581,0.101,0.058,2.781,1.135
JAXW202-2168,2.472,0.075,0.063,2.832,1.316
JAXW202-2154,2.504,0.115,0.062,3.029,1.16
JAXW202-2184,2.477,0.087,0.054,2.755,1.195
JAXW202-2209,2.623,0.3,0.242,2.85,1.708
JAXW202-2232,2.631,0.344,0.259,3.038,1.25
JAXW202-2163,2.584,0.093,0.062,2.911,1.029
JAXW202-2234,3.14,0.323,0.235,3.455,1.572
JAXW202-2237,2.59,0.082,0.261,2.919,1.649
JAXW202-2246,2.536,0.312,0.255,2.761,1.616
JAXW202-2197,2.638,0.306,0.259,2.892,1.693
JAXW202-2230,2.75,0.295,0.243,2.874,1.457
JAXW202-2172,2.467,0.079,0.055,2.854,1.373
JAXW202-2170,2.517,0.112,0.063,2.836,1.357
JAXW202-2185,2.477,0.098,0.055,2.832,1.32
JAXW202-2211,2.813,0.266,0.232,2.905,1.507
JAXW202-2235,2.893,0.284,0.243,3.06,1.619
JAXW202-2165,2.608,0.084,0.07,2.91,1.087
JAXW202-2236,3.51,0.313,0.22,3.862,1.773
